[1] instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x86cc, PC = 0x85d0, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
[6] instruction : ldrb / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e4, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x5\x30\x5b\xe5
[7] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e8, CPSR = 0x400001d3 / modified register : ['cpsr'] / memory data : \x0\x0\x53\xe3
[8] instruction : beq / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85ec, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x24\x0\x0\xa
[13] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x860c, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x80\x30\x9f\xe5
[14] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8610, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[15] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8614, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x2\x0\x53\xe3
[16] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8618, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[19] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8630, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x3\x0\x53\xe3
[20] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8634, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[21] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8644, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x48\x30\x9f\xe5
[22] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8648, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
ERROR: Invalid memory read (UC_ERR_READ_UNMAPPED)
[1] instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x86cc, PC = 0x85d0, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
[2] instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x7ffffff8, LR = 0x86cc, PC = 0x85d4, CPSR = 0x400001d3 / modified register : ['fp'] / memory data : \x4\xb0\x8d\xe2
[3] instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff8, LR = 0x86cc, PC = 0x85d8, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x8\xd0\x4d\xe2
[4] instruction : mov / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85dc, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x1\x30\xa0\xe3
[5] instruction : strb / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e0, CPSR = 0x400001d3 / modified register : [] / memory data : \x5\x30\x4b\xe5
[6] instruction : ldrb / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e4, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x5\x30\x5b\xe5
[7] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85e8, CPSR = 0x400001d3 / modified register : ['cpsr'] / memory data : \x0\x0\x53\xe3
[8] instruction : beq / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85ec, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x24\x0\x0\xa
[9] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85f0, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x9c\x30\x9f\xe5
[10] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85f4, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[11] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85f8, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x1\x0\x53\xe3
[12] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x85fc, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[13] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x860c, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x80\x30\x9f\xe5
[14] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8610, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[15] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8614, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x2\x0\x53\xe3
[16] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8618, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[17] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8628, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x64\x30\x9f\xe5
[18] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x862c, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[19] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8630, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x3\x0\x53\xe3
[20] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8634, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[21] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8644, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x48\x30\x9f\xe5
[22] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8648, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[23] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x864c, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x4\x0\x53\xe3
[24] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8650, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[25] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8660, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x2c\x30\x9f\xe5
[26] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x2408c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8664, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
[27] instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8668, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x5\x0\x53\xe3
[28] instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x866c, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
[29] instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x867c, CPSR = 0x200001d3 / modified register : ['r0'] / memory data : \xc\x0\x1b\xe5
[30] instruction : bl / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x86cc, PC = 0x8680, CPSR = 0x200001d3 / modified register : ['lr', 'pc'] / memory data : \xad\xff\xff\xeb
[31] instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x8684, PC = 0x853c, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
[32] instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffffe8, LR = 0x8684, PC = 0x8540, CPSR = 0x200001d3 / modified register : ['fp'] / memory data : \x4\xb0\x8d\xe2
[33] instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x69d2c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe8, LR = 0x8684, PC = 0x8544, CPSR = 0x200001d3 / modified register : ['sp'] / memory data : \x18\xd0\x4d\xe2
